title,filename,url,word_count,downloaded_at
Chelsea F.C.,Chelsea_FC.txt,https://en.wikipedia.org/wiki/Chelsea_F.C.,8226,2025-12-11T16:16:15.872121
Manchester City F.C.,Manchester_City_FC.txt,https://en.wikipedia.org/wiki/Manchester_City_F.C.,6875,2025-12-11T16:16:17.025959
Tottenham Hotspur F.C.,Tottenham_Hotspur_FC.txt,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,8101,2025-12-11T16:16:18.244659
Leicester City F.C.,Leicester_City_FC.txt,https://en.wikipedia.org/wiki/Leicester_City_F.C.,7754,2025-12-11T16:16:19.392265
Everton F.C.,Everton_FC.txt,https://en.wikipedia.org/wiki/Everton_F.C.,6978,2025-12-11T16:16:20.450026
Newcastle United F.C.,Newcastle_United_FC.txt,https://en.wikipedia.org/wiki/Newcastle_United_F.C.,6854,2025-12-11T16:16:21.622899
Aston Villa F.C.,Aston_Villa_FC.txt,https://en.wikipedia.org/wiki/Aston_Villa_F.C.,8989,2025-12-11T16:16:22.789423
West Ham United F.C.,West_Ham_United_FC.txt,https://en.wikipedia.org/wiki/West_Ham_United_F.C.,11218,2025-12-11T16:16:23.941833
Thierry Henry,Thierry_Henry.txt,https://en.wikipedia.org/wiki/Thierry_Henry,8879,2025-12-11T16:16:24.982598
Alan Shearer,Alan_Shearer.txt,https://en.wikipedia.org/wiki/Alan_Shearer,6930,2025-12-11T16:16:26.091578
Ryan Giggs,Ryan_Giggs.txt,https://en.wikipedia.org/wiki/Ryan_Giggs,8666,2025-12-11T16:16:27.235232
Frank Lampard,Frank_Lampard.txt,https://en.wikipedia.org/wiki/Frank_Lampard,9934,2025-12-11T16:16:28.389439
Steven Gerrard,Steven_Gerrard.txt,https://en.wikipedia.org/wiki/Steven_Gerrard,7016,2025-12-11T16:16:29.574593
Wayne Rooney,Wayne_Rooney.txt,https://en.wikipedia.org/wiki/Wayne_Rooney,12099,2025-12-11T16:16:30.743771
Cristiano Ronaldo,Cristiano_Ronaldo.txt,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,11467,2025-12-11T16:16:31.907295
Sergio Agüero,Sergio_Agüero.txt,https://en.wikipedia.org/wiki/Sergio_Ag%C3%BCero,8531,2025-12-11T16:16:36.772485
Mohamed Salah,Mohamed_Salah.txt,https://en.wikipedia.org/wiki/Mohamed_Salah,12659,2025-12-11T16:16:37.908808
Kevin De Bruyne,Kevin_De_Bruyne.txt,https://en.wikipedia.org/wiki/Kevin_De_Bruyne,6218,2025-12-11T16:16:38.928415
Eric Cantona,Eric_Cantona.txt,https://en.wikipedia.org/wiki/Eric_Cantona,8677,2025-12-11T16:16:42.737317
Dennis Bergkamp,Dennis_Bergkamp.txt,https://en.wikipedia.org/wiki/Dennis_Bergkamp,5780,2025-12-11T16:16:43.749782
Didier Drogba,Didier_Drogba.txt,https://en.wikipedia.org/wiki/Didier_Drogba,8760,2025-12-11T16:16:44.887114
Patrick Vieira,Patrick_Vieira.txt,https://en.wikipedia.org/wiki/Patrick_Vieira,5567,2025-12-11T16:16:49.865735
Roy Keane,Roy_Keane.txt,https://en.wikipedia.org/wiki/Roy_Keane,9155,2025-12-11T16:16:51.293101
Alex Ferguson,Alex_Ferguson.txt,https://en.wikipedia.org/wiki/Alex_Ferguson,12705,2025-12-11T16:16:52.926550
Arsène Wenger,Arsène_Wenger.txt,https://en.wikipedia.org/wiki/Ars%C3%A8ne_Wenger,12271,2025-12-11T16:16:54.557482
José Mourinho,José_Mourinho.txt,https://en.wikipedia.org/wiki/Jos%C3%A9_Mourinho,15954,2025-12-11T16:16:55.776263
Pep Guardiola,Pep_Guardiola.txt,https://en.wikipedia.org/wiki/Pep_Guardiola,7820,2025-12-11T16:16:56.907690
Jürgen Klopp,Jürgen_Klopp.txt,https://en.wikipedia.org/wiki/J%C3%BCrgen_Klopp,8049,2025-12-11T16:17:02.301378
Treble (association football),Treble_association_football.txt,https://en.wikipedia.org/wiki/Treble_(association_football),1119,2025-12-11T16:17:03.418447
2015–16 Leicester City F.C. season,201516_Leicester_City_FC_season.txt,https://en.wikipedia.org/wiki/2015%E2%80%9316_Leicester_City_F.C._season,2189,2025-12-11T16:17:05.133956
